output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
50	Root (100%); Eukaryota (100%); Amorphea (100%); Obazoa (100%); Opisthokonta (100%); Nucletmycea (100%); Fungi (100%); Dikarya (100%); Basidiomycota (100%); Agaricomycotina (100%); Agaricomycetes (98.5%); unclassified_Agaricomycetes (98.5%)	ASV1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
51	Root (75.2%); Eukaryota (75.2%); Amorphea (75.2%); Obazoa (75.2%); Opisthokonta (75.2%); Holozoa (75.2%); Choanozoa (75.2%); Metazoa (75.2%); Animalia (75.2%); BCP clade (75.2%); Bilateria (75.2%); Protostomia (75.2%); Ecdysozoa (75.2%); Nematozoa (75.2%); Nematoda (75.2%); Chromadorea (75.2%); Rhabditida (75.2%)	ASV1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
52	Root (100%); Eukaryota (100%); Amorphea (100%); Obazoa (100%); Opisthokonta (100%); Nucletmycea (100%); Fungi (100%); Zoopagomycota (100%); Entomophthoromycotina (100%); Entomophthoromycetes (100%); Entomophthorales (100%); Entomophthoraceae (100%); Zoophthora (97.8%)	ASV105	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	21	0	0	0	380	0	15	0	0	0	0	0	0	0	0	7189	0	0
53	Root (83.3%); Eukaryota (83.3%); Amorphea (83.3%); Obazoa (83.3%); Opisthokonta (83.3%); Nucletmycea (82.5%); Fungi (82.5%); Dikarya (82.5%); Ascomycota (82.5%); Pezizomycotina (82.5%); Sordariomycetes (81.8%); Hypocreales (68.3%); unclassified_Hypocreales (68.3%)	ASV1050	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0
54	Root (99.2%); Eukaryota (99.2%); Amorphea (99.2%); Obazoa (99.2%); Opisthokonta (99.2%); Nucletmycea (99.2%); Fungi (99.2%); Dikarya (98.5%); Basidiomycota (98.5%); Ustilaginomycotina (97%); Ustilaginomycetes (96.3%); Ustilaginales (96.3%); Ustilaginaceae (95.3%); Farysia (63.4%)	ASV1051	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	15	0	0	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0
55	Root (57%); unclassified_Root (57%)	ASV1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	Root (66.1%); Eukaryota (66.1%); Amorphea (66.1%); Obazoa (66.1%); Opisthokonta (66.1%); Holozoa (66.1%); Choanozoa (66.1%); Metazoa (66.1%); Animalia (66.1%); BCP clade (66.1%); Bilateria (66.1%); Protostomia (66.1%); Ecdysozoa (66.1%); Arthropoda (64.7%); Hexapoda (63.4%); Insecta (63.4%); Pterygota (63.4%); Neoptera (63.4%); unclassified_Neoptera (63.4%)	ASV1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	Root (83.8%); Eukaryota (83.8%); Amorphea (83.8%); Obazoa (83.8%); Opisthokonta (83.8%); Nucletmycea (83.8%); Fungi (83.8%); Dikarya (83.1%); Ascomycota (82.5%); Pezizomycotina (76.8%); unclassified_Pezizomycotina (76.8%)	ASV1054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	Root (95.1%); Eukaryota (95.1%); SAR (95.1%); Stramenopiles (95.1%); Ochrophyta (95.1%); Eustigmatophyceae (95.1%); Eustigmatales (95.1%); Vischeria (89%)	ASV1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	35	0	0	0	0	0	0	0
59	Root (84%); Eukaryota (84%); Archaeplastida (82.1%); Chloroplastida (82.1%); Chlorophyta (66.2%); unclassified_Chlorophyta (66.2%)	ASV1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
60	Root (100%); Eukaryota (100%); Archaeplastida (100%); Chloroplastida (100%); Charophyta (87.3%); Amb-18S-504 (83.3%)	ASV1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
61	Root (53.1%); unclassified_Root (53.1%)	ASV1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
62	Root (65.5%); Eukaryota (65.5%); unclassified_Eukaryota (65.5%)	ASV1059	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	Root (100%); Eukaryota (100%); SAR (100%); Stramenopiles (100%); Ochrophyta (100%); Chrysophyceae (100%); Chromulinales (88.3%); Poterioochromonas (80%)	ASV106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	3880	3265	0	0
64	Root (77.9%); Eukaryota (77.9%); Archaeplastida (77.9%); Chloroplastida (77.9%); Charophyta (77.3%); Phragmoplastophyta (77.3%); Streptophyta (76.5%); Embryophyta (76.5%); Bryophyta (75.8%); unclassified_Bryophyta (75.8%)	ASV1060	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
65	Root (82.1%); Eukaryota (82.1%); SAR (81.6%); Stramenopiles (81.6%); Peronosporomycetes (81.6%); unclassified_Peronosporomycetes (81.6%)	ASV1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	Root (80.2%); Eukaryota (80.2%); SAR (79.1%); Stramenopiles (78.5%); Bicosoecida (78.5%); unclassified_Bicosoecida (78.5%)	ASV1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
67	Root (97.3%); Eukaryota (97.3%); Amorphea (97.3%); Obazoa (97.3%); Opisthokonta (97.3%); Nucletmycea (97.3%); Fungi (97.3%); Dikarya (97.3%); Basidiomycota (97.3%); Agaricomycotina (97.3%); Agaricomycetes (97.3%); unclassified_Agaricomycetes (97.3%)	ASV1063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	11	0	0	0	0	0	0	0	0	0	0	0
68	Root (98.3%); Eukaryota (98.3%); Amorphea (98.3%); Obazoa (98.3%); Opisthokonta (98.3%); Nucletmycea (98.3%); Fungi (98.3%); Dikarya (98.3%); Basidiomycota (98.3%); Agaricomycotina (97.4%); Tremellomycetes (90.5%); Tremellales (71%); unclassified_Tremellales (71%)	ASV1064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	18	14	0	0	0
